Username,Category,Followers,Followees,Posts,Level
kendalljenner,fashion,96476007,194,3005,Huge
ddlovato,fashion,70694795,377,2113,Huge
kourtneykardash,fashion,68085836,82,3572,Huge
vanessahudgens,fashion,30133386,680,2834,Huge
priyankachopra,fashion,28632169,387,2638,Huge
jacquelinef143,fashion,22171000,705,1878,Huge
krisjenner,fashion,22124041,459,4722,Huge
bellahadid,fashion,20399198,266,2652,Huge
nancyajram,fashion,17019240,43,3288,Huge
maisa,fashion,16640729,2498,1778,Huge
victoriajustice,fashion,15533527,123,2227,Huge
sabrinasato,fashion,15068311,5083,7173,Huge
blacchyna,fashion,14716595,3162,3470,Huge
rodrigofaro,fashion,12931592,995,3322,Huge
anacheri,fashion,11439243,412,1384,Huge
taylor_hill,fashion,11349140,307,1756,Huge
miakhalifa,fashion,11091509,441,1632,Huge
gabunion,fashion,10868712,1554,2669,Huge
simoneesimaria,fashion,10463434,991,4330,Huge
flaviapavanelli,fashion,10158067,846,2937,Huge
claudiaalende,fashion,10049980,475,617,Huge
salicerose,fashion,9673873,657,3397,Huge
karolg,fashion,9648038,580,3007,Huge
model_roz,fashion,9259115,186,1751,Huge
alexandradaddario,fashion,9205787,581,1165,Huge
inanna,fashion,9029678,430,1078,Huge
anastasiya_kvitko,fashion,8975092,25,783,Huge
alissaviolet,fashion,8610677,396,594,Huge
rosiehw,fashion,8557426,1271,2924,Huge
iisuperwomanii,fashion,8048546,997,4083,Huge
karliekloss,fashion,7713058,798,2790,Huge
iamyanetgarcia,fashion,7695017,518,1094,Huge
anaclaraac,fashion,7673348,1129,1017,Huge
camilacoelho,fashion,7480555,868,9859,Huge
marianarios,fashion,7248830,1555,5196,Huge
malutrevejo,fashion,7052689,213,1833,Huge
jessicabiel,fashion,6977372,106,804,Huge
drayamichele,fashion,6847450,483,848,Huge
marimariamakeup,fashion,6692762,493,1928,Huge
gustavorochaa,fashion,6429723,1631,1441,Huge
keke,fashion,6346526,1339,2720,Huge
twan,fashion,6290311,246,1237,Huge
beberexha,fashion,6225260,675,1498,Huge
