,Username,Category,Followers,Followees,Posts,Level
2507,sorry_not_fame,fashion,99987.0,133,339,Mid
2508,elletayla,fashion,99800.0,529,1018,Mid
2509,yamamnabeel,fashion,99705.0,305,1728,Mid
2510,thelondonchatter,fashion,99658.0,627,2020,Mid
2511,iamgadriana,fashion,99580.0,994,2808,Mid
2512,juancherangel,fashion,99514.0,3806,1736,Mid
2513,francescafitnessfreak,fashion,99487.0,678,2018,Mid
2514,theeditorialistla,fashion,99483.0,2499,1621,Mid
2515,florboncuero,fashion,99445.0,292,382,Mid
2516,dedo90,fashion,99416.0,1455,383,Mid
2517,bishamberdas,fashion,99389.0,57,2571,Mid
2518,alina_paul,fashion,99364.0,68,434,Mid
2519,chichinaalina,fashion,99269.0,1130,1995,Mid
2520,ellevalera,fashion,99089.0,566,464,Mid
2521,stevie_hendrix,fashion,98991.0,654,1300,Mid
2522,simplyclassycassie,fashion,98967.0,530,643,Mid
2523,yolita.c,fashion,98822.0,2332,602,Mid
2524,francescaventurini_,fashion,98814.0,3062,2655,Mid
2525,aurorekicheninoff,fashion,98803.0,617,304,Mid
2526,lonnekenooteboom,fashion,98722.0,6003,4924,Mid
2527,lauragilmour_,fashion,98542.0,1121,1526,Mid
2528,rahelchiwitt,fashion,98390.0,622,561,Mid
2529,kylie.quenner,fashion,98319.0,240,1223,Mid
2530,isabella_gray,fashion,98304.0,1672,550,Mid
2531,savannah_latimer,fashion,98303.0,507,977,Mid
2532,celebstyleguide,fashion,98223.0,1745,725,Mid
2533,becca_trujillo,fashion,98154.0,93,363,Mid
2534,nancyajram_turkey,fashion,98039.0,22,5075,Mid
2535,myoutfititalia,fashion,98034.0,3618,1256,Mid
2536,tiffanie.marie,fashion,98016.0,892,754,Mid
2537,mynextwanderlust,fashion,97919.0,629,324,Mid
2538,natalie_keinan,fashion,97882.0,1097,1980,Mid
2539,withrobinj,fashion,97861.0,3006,474,Mid
2540,bibleoffashionjulie,fashion,97822.0,3959,2921,Mid
2541,camillalucchi_,fashion,97798.0,812,1171,Mid
2542,simplybiancaalexa,fashion,97498.0,756,510,Mid
2543,gr1fn,fashion,97487.0,3745,960,Mid
2544,therobinb,fashion,97471.0,419,284,Mid
2545,monikalinkyte,fashion,97471.0,791,1106,Mid
2546,wearetwinset,fashion,97443.0,4469,2214,Mid
2547,vandamiranda,fashion,97245.0,730,2569,Mid
2548,desnjen,fashion,97240.0,955,1303,Mid
2549,shannonalxndra,fashion,97235.0,658,479,Mid
2550,blablablacarol,fashion,97222.0,1944,3363,Mid
2551,tinaguo,fashion,97217.0,904,7672,Mid
2552,beatricegherardini,fashion,97118.0,3920,640,Mid
2553,jaimexie,fashion,97057.0,1297,547,Mid
2554,anouskapb,fashion,97011.0,1266,2884,Mid
2555,karlareed,fashion,97008.0,560,4820,Mid
2556,veronicafalco,fashion,96895.0,4000,2396,Mid
2557,alishalemayx,fashion,96895.0,1921,2099,Mid
2558,iamjorgeluis_,fashion,96866.0,4571,1566,Mid
2559,de_rococo,fashion,96864.0,2332,2222,Mid
2560,steffechegoyen,fashion,96830.0,1599,504,Mid
