Type,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured
Motive Confirmed,22-Oct-16,Ali Risan,Male,Iraq,Al-Sumaria TV,Iraq,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,21-Oct-16,Ahmet Haceroğlu,Male,Iraq,Türkmeneli TV,Iraq,Television,Producer,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,2-Oct-16,Jeroen Oerlemans ,Male,Libya,Freelance,Netherlands,Internet,Photographer,"Politics, War",Yes,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,14-Aug-16,Mustafa Said,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Aug-16,Shehzad Ahmed,,Pakistan,Aaj News,Pakistani,Television,Camera Operator,"Business, Corruption, Crime, Sports",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,8-Aug-16,Mehmood Khan,Male,Pakistan,DawnNews,Pakistani,Television,Camera Operator,"Business, Corruption, Crime, Sports",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,5-Aug-16,Mubarak al-Abadi,Male,Yemen,Nabaa Media Foundation,Yemeni,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,1-Aug-16,Mohammed Sayyed Hassan,Male,Syria,"All4Syria, Al-Nabaa Media Center",Syrian,Internet,Photographer,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,24-Jul-16,João Miranda do Carmo,Male,Brazil,SAD Sem Censura,Brazil,Internet,Editor,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,21-Jul-16,Abdelqadir Fassouk,Male,Libya,Arraed Satellite TV,Libyan,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,20-Jul-16,Pavel Sheremet,Male,Ukraine,"Ukrainska Pravda, Radio Vesti",Russian,Internet,Broadcast,"Corruption, Crime, Politics",No,Foreign,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,October 2015 - June 2016,Sami Jawdat Rabah,Male,Syria,Syrian Observatory for Human Rights,Syrian,Internet,Photographer,War,No,Local,Political Group,Murder,Yes,Yes,Yes,"
"
Motive Confirmed,October 2015 - June 2016,Samer Mohammed Aboud,Male,Syria,"Free Deir al-Zour Radio, Development Interaction Network",Syrian,Internet,Broadcast,War,No,Local,Political Group,Murder,Yes,Yes,Yes,"
"
Motive Confirmed,October 2015 - June 2016,Mustafa Abdul Hassa,Male,Syria,Shaam News Network,Syrian,Internet,Internet Reporter,War,No,Local,Political Group,Murder,Yes,Yes,Yes,"
"
Motive Confirmed,October 2015 - June 2016,Mohammed Eissa,Male,Syria,Nateq Network,Syrian,Internet,Photographer,War,No,Local,,Murder,Yes,Yes,Yes,"
"
Motive Confirmed,14-Jul-16,Abdullah Mohammad Ghannam,Male,Syria,Shahba Press Agency,Syrian,Internet,Photographer,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,11-Jul-16,Ibrahim Omar,Male,Syria,Al Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,25-Jun-16,Khaled Eissa ,Male,Syria,Freelance,Syrian,Television,Camera Operator,"Human Rights, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,24-Jun-16,Khaled al-Zintani ,Male,Libya,Freelance ,Libyan ,Television,Photographer,War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,19-Jun-16,Elidio Ramos Zárate,Male,Mexico,El Sur,Mexican,Print,Print Reporter,Crime,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,"January 30 to February 24, 2016",Rohat Aktaş,Male,Turkey,Azadiya Welat,Turkey,Print,Editor,"Politics, War",No,Local,Military Officials,Unknown,,,,"
"
Motive Confirmed,5-Jun-16,David Gilkey,Male,Afghanistan,National Public Radio,American,Internet,Photographer,,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,5-Jun-16,Zabihullah Tamanna,Male,Afghanistan,National Public Radio,Afghan,Internet,Producer,"Culture, Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,5-Jun-16,Osama Jumaa,Male,Syria,Images Live,Syrian,Television,Camera Operator,War,No,Local,Government Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,13-May-16,Rajdev Ranjan,Male,India,Hindustan,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,12-Apr-16,Zaher al-Shurqat,Male,Turkey,Aleppo Today,Syrian,Internet,Broadcast,War,No,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
