,Username,Category,Followers,Followees,Posts,Level
0,kendalljenner,fashion,96476007.0,194,3005,Huge
1,ddlovato,fashion,70694795.0,377,2113,Huge
2,kourtneykardash,fashion,68085836.0,82,3572,Huge
3,vanessahudgens,fashion,30133386.0,680,2834,Huge
4,priyankachopra,fashion,28632169.0,387,2638,Huge
5,jacquelinef143,fashion,22171000.0,705,1878,Huge
6,krisjenner,fashion,22124041.0,459,4722,Huge
7,bellahadid,fashion,20399198.0,266,2652,Huge
8,nancyajram,fashion,17019240.0,43,3288,Huge
9,maisa,fashion,16640729.0,2498,1778,Huge
10,victoriajustice,fashion,15533527.0,123,2227,Huge
11,sabrinasato,fashion,15068311.0,5083,7173,Huge
12,blacchyna,fashion,14716595.0,3162,3470,Huge
13,rodrigofaro,fashion,12931592.0,995,3322,Huge
14,anacheri,fashion,11439243.0,412,1384,Huge
15,taylor_hill,fashion,11349140.0,307,1756,Huge
16,miakhalifa,fashion,11091509.0,441,1632,Huge
17,gabunion,fashion,10868712.0,1554,2669,Huge
18,simoneesimaria,fashion,10463434.0,991,4330,Huge
19,flaviapavanelli,fashion,10158067.0,846,2937,Huge
20,claudiaalende,fashion,10049980.0,475,617,Huge
21,salicerose,fashion,9673873.0,657,3397,Huge
22,karolg,fashion,9648038.0,580,3007,Huge
23,model_roz,fashion,9259115.0,186,1751,Huge
24,alexandradaddario,fashion,9205787.0,581,1165,Huge
25,inanna,fashion,9029678.0,430,1078,Huge
26,anastasiya_kvitko,fashion,8975092.0,25,783,Huge
27,alissaviolet,fashion,8610677.0,396,594,Huge
28,rosiehw,fashion,8557426.0,1271,2924,Huge
29,iisuperwomanii,fashion,8048546.0,997,4083,Huge
30,karliekloss,fashion,7713058.0,798,2790,Huge
31,iamyanetgarcia,fashion,7695017.0,518,1094,Huge
32,anaclaraac,fashion,7673348.0,1129,1017,Huge
33,camilacoelho,fashion,7480555.0,868,9859,Huge
34,marianarios,fashion,7248830.0,1555,5196,Huge
35,malutrevejo,fashion,7052689.0,213,1833,Huge
36,jessicabiel,fashion,6977372.0,106,804,Huge
37,drayamichele,fashion,6847450.0,483,848,Huge
38,marimariamakeup,fashion,6692762.0,493,1928,Huge
39,gustavorochaa,fashion,6429723.0,1631,1441,Huge
40,keke,fashion,6346526.0,1339,2720,Huge
41,twan,fashion,6290311.0,246,1237,Huge
42,beberexha,fashion,6225260.0,675,1498,Huge
43,imouniroy,fashion,6108054.0,251,1980,Huge
44,chloelukasiak,fashion,6071881.0,1013,1035,Huge
45,kateupton,fashion,6047164.0,165,1071,Huge
46,mylifeaseva,fashion,5749105.0,927,670,Huge
47,valentinazenere,fashion,5724382.0,820,380,Huge
48,angelasimmons,fashion,5483094.0,1505,11088,Huge
49,billboard,fashion,5351808.0,471,11386,Huge
50,yoventura,fashion,5312319.0,297,1833,Huge
51,lilyaldridge,fashion,5275423.0,992,2318,Huge
52,ticipinheiro,fashion,5271871.0,503,8088,Huge
53,josephineskriver,fashion,5249697.0,330,1747,Huge
54,amorimvivian,fashion,5168769.0,971,2331,Huge
55,loreimprota,fashion,5074442.0,1966,5127,Huge
56,jordynjones,fashion,5068967.0,552,6195,Huge
57,niasioux,fashion,4822183.0,1572,2181,Huge
58,katgraham,fashion,4729293.0,448,3086,Huge
59,romeestrijd,fashion,4725313.0,971,2095,Huge
60,wolfiecindy,fashion,4702230.0,391,289,Huge
61,emilysears,fashion,4686032.0,400,2060,Huge
62,realberniceburgos,fashion,4555925.0,635,1341,Huge
63,lianev,fashion,4493231.0,443,2436,Huge
64,winnieharlow,fashion,4444829.0,1157,3785,Huge
65,anilorak,fashion,4413734.0,540,3367,Huge
66,thailaayala,fashion,4348933.0,1163,4699,Huge
67,camilaloures,fashion,4262311.0,2057,1955,Huge
68,chanteljeffries,fashion,4234620.0,440,2035,Huge
69,xandaviao,fashion,4230704.0,1261,3893,Huge
70,valeria_orsini,fashion,4203789.0,1294,2795,Huge
71,vickypattison,fashion,4056435.0,3511,7238,Huge
72,leighannepinnock,fashion,4044404.0,542,2138,Huge
73,francinyehlke,fashion,4039608.0,245,1065,Huge
74,stellamaxwell,fashion,4017691.0,530,1720,Huge
75,greggsulkin,fashion,4013626.0,671,760,Huge
76,lira_galore,fashion,4007201.0,3559,1129,Huge
77,natalieevamarie,fashion,3996018.0,598,4860,Huge
78,brooklynandbailey,fashion,3965492.0,363,2111,Huge
79,adriennebailon,fashion,3939273.0,1111,2430,Huge
80,sofiarichie,fashion,3859426.0,537,1037,Huge
81,alisha,fashion,3824778.0,841,1513,Huge
82,tata,fashion,3817906.0,687,3113,Huge
83,vanessamorgan,fashion,3815326.0,389,1136,Huge
84,ashanti,fashion,3807076.0,347,3002,Huge
85,desiperkins,fashion,3787218.0,709,2115,Huge
86,indialove,fashion,3781802.0,348,3592,Huge
87,alessiamarcuzzi,fashion,3724074.0,1816,4077,Huge
88,rclbeauty101,fashion,3719331.0,83,1310,Huge
89,porsha4real,fashion,3705188.0,1301,5257,Huge
90,lilymaymac,fashion,3700714.0,426,1020,Huge
91,nicolescherzinger,fashion,3689155.0,450,1997,Huge
92,sssniperwolf,fashion,3676322.0,209,1459,Huge
93,blythe,fashion,3663940.0,3312,3506,Huge
94,evelynlozada,fashion,3635981.0,1713,2423,Huge
95,colormenae,fashion,3633464.0,1094,4340,Huge
96,marixioficial,fashion,3509731.0,3217,1994,Huge
97,tommiee_,fashion,3489376.0,685,1423,Huge
