,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1973,0.8,2.1,3.0,17.4,7.6,3.6
1,Alaska,1973,0.4,0.4,0.8,3,5.1,0.3
2,Arizona,1973,0.1,1.3,1.4,13.3,11.9,2.0
3,Arkansas,1973,0.1,1.0,1.1,9.9,10.3,2.0
4,California,1973,6.0,12.5,18.6,147.2,4.8,21.0
5,Colorado,1973,0.1,1.4,1.5,16.1,10.9,2.4
6,Connecticut,1973,2.6,1.8,4.4,20.8,4.9,3.1
7,Delaware,1973,0.5,0.4,0.9,4.5,7.5,0.6
8,District of Columbia,1973,0.0,1.4,1.4,10.4,-0.4,0.7
9,Florida,1973,1.3,3.8,5.1,47,12.1,7.6
10,Georgia,1973,1.1,2.2,3.2,28.2,8.7,4.8
11,Hawaii,1973,1.0,0.3,1.3,6.4,7.1,0.8
12,Idaho,1973,0.0,0.2,0.2,4.5,12.6,0.8
13,Illinois,1973,1.9,6.7,8.6,81.3,4.8,11.2
14,Indiana,1973,0.6,1.9,2.5,34,7.5,5.3
15,Iowa,1973,0.1,1.0,1.1,18.5,14.6,2.9
16,Kansas,1973,0.2,1.2,1.4,14,9.4,2.3
17,Kentucky,1973,1.8,1.7,3.5,18.9,5.9,3.3
18,Louisiana,1973,1.2,2.9,4.1,22.7,6.2,3.8
19,Maine,1973,0.4,0.3,0.6,5.2,6.6,1.0
20,Maryland,1973,1.6,2.7,4.3,25.1,5.1,4.0
21,Massachusetts,1973,3.1,3.3,6.4,36.9,3.5,5.7
22,Michigan,1973,1.4,5.5,7.0,62.9,5.4,9.0
23,Minnesota,1973,0.6,2.9,3.6,26,12.4,3.9
24,Mississippi,1973,0.6,0.9,1.5,10.6,9.0,2.3
25,Missouri,1973,0.2,2.5,2.7,29.3,5.1,4.7
26,Montana,1973,0.1,0.2,0.3,4.3,12.4,0.7
27,Nebraska,1973,0.1,2.0,2.1,10,11.3,1.5
28,Nevada,1973,0.1,0.5,0.5,4.5,7.6,0.6
29,New Hampshire,1973,0.2,0.3,0.5,4.2,9.1,0.8
30,New Jersey,1973,2.8,4.3,7.1,49.3,3.0,7.2
31,New Mexico,1973,0.1,0.3,0.5,6.2,8.5,1.1
32,New York,1973,11.8,21.8,33.6,136.4,1.6,18.0
33,North Carolina,1973,0.5,1.5,2.0,31.8,7.5,5.3
34,North Dakota,1973,0.1,0.2,0.3,4.4,35.6,0.6
35,Ohio,1973,2.2,5.0,7.3,69.8,5.2,10.7
36,Oklahoma,1973,0.8,1.0,1.8,14.5,7.8,2.7
37,Oregon,1973,1.1,0.9,2.0,14.2,10.0,2.2
38,Pennsylvania,1973,4.6,7.2,11.8,71.9,4.2,11.8
39,Rhode Island,1973,0.4,0.5,0.8,5.4,0.4,0.9
40,South Carolina,1973,0.6,0.8,1.4,13.8,9.7,2.7
41,South Dakota,1973,0.0,0.1,0.1,4,23.2,0.7
42,Tennessee,1973,0.6,2.6,3.3,23.2,8.0,4.1
43,Texas,1973,1.6,8.0,9.6,73.8,9.3,12.0
44,All states combined,1973,59.0,129.0,188.0,"1,425.40",5.6,210.0
45,Utah,1973,0.1,0.4,0.5,6.5,9.5,1.2
46,Vermont,1973,0.4,0.1,0.5,2.5,2.6,0.5
47,Virginia,1973,0.4,2.5,2.9,29.5,7.1,4.8
48,Washington,1973,1.1,4.0,5.1,23.3,8.0,3.6
49,West Virginia,1973,0.8,0.4,1.2,9.2,3.8,1.8
50,Wisconsin,1973,0.9,2.1,3.0,27,6.5,4.5
51,Wyoming,1973,0.0,0.2,0.3,2.8,14.4,0.4
