,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2019,10.7,26.1,36.8,228,1.1,4.9
1,Alaska,2019,5.9,3.5,9.4,55.7,-0.2,0.7
2,Arizona,2019,13.3,30.5,43.8,361.1,2.3,7.3
3,Arkansas,2019,7.3,14.9,22.2,131.4,0.5,3.0
4,California,2019,145,298.7,443.7,"3,080.60",2.0,39.5
5,Colorado,2019,18.7,44.2,62.9,384.1,2.0,5.8
6,Connecticut,2019,41.7,12.1,53.8,280.8,0.5,3.6
7,Delaware,2019,5.6,3.1,8.7,77.1,0.1,1.0
8,District of Columbia,2019,0,15.7,15.7,144.2,1.2,0.7
9,Florida,2019,26.7,98.2,125,"1,076.70",2.0,21.5
10,Georgia,2019,13.6,46.6,60.2,607,1.4,10.6
11,Hawaii,2019,10.1,6.6,16.7,94.3,0.5,1.4
12,Idaho,2019,3.5,2.8,6.3,80.2,2.3,1.8
13,Illinois,2019,72.7,108.9,181.6,892.6,1.2,12.7
14,Indiana,2019,22.3,26.4,48.7,378.1,1.0,6.7
15,Iowa,2019,6.4,13.8,20.2,195.5,0.8,3.2
16,Kansas,2019,5.8,15.8,21.5,172.1,1.0,2.9
17,Kentucky,2019,14.9,31.3,46.2,213.8,0.8,4.5
18,Louisiana,2019,18.3,18.5,36.8,262,0.6,4.6
19,Maine,2019,4.8,3.1,7.9,66.3,1.1,1.3
20,Maryland,2019,28.2,26.5,54.7,423.8,0.9,6.0
21,Massachusetts,2019,80.4,21.2,101.5,586.2,1.5,6.9
22,Michigan,2019,33.8,39,72.8,544.1,1.5,10.0
23,Minnesota,2019,16.9,37.8,54.7,379.9,1.2,5.6
24,Mississippi,2019,7.1,6.7,13.8,117.2,0.5,3.0
25,Missouri,2019,17.5,27.2,44.7,327.7,1.3,6.1
26,Montana,2019,2.7,2.4,5.2,50.4,0.5,1.1
27,Nebraska,2019,2.1,14.6,16.7,126.3,0.8,1.9
28,Nevada,2019,3.6,26.8,30.4,172.1,1.8,3.1
29,New Hampshire,2019,7.8,2.7,10.5,87.3,1.2,1.4
30,New Jersey,2019,65.6,31.7,97.2,643.5,1.1,8.9
31,New Mexico,2019,7.5,9.3,16.8,103.1,1.0,2.1
32,New York,2019,156.2,235.4,391.6,"1,732.40",1.2,19.5
33,North Carolina,2019,14.7,27.9,42.6,585.8,1.6,10.5
34,North Dakota,2019,3.2,5.7,8.8,56.9,1.4,0.8
35,Ohio,2019,30.2,48.8,79,698.1,1.0,11.7
36,Oklahoma,2019,9.4,11.4,20.7,208.9,1.0,4.0
37,Oregon,2019,15.3,26.6,41.8,247.7,1.9,4.2
38,Pennsylvania,2019,50.7,80.5,131.3,814.6,1.2,12.8
39,Rhode Island,2019,9.3,2.8,12,62.4,0.3,1.1
40,South Carolina,2019,13.8,20.9,34.7,236.6,0.9,5.1
41,South Dakota,2019,3.9,3,7,53,0.7,0.9
42,Tennessee,2019,6.6,39.9,46.5,378.3,1.7,6.8
43,Texas,2019,52.3,243.8,296.1,"1,861.40",1.8,29.0
44,All states combined,2019,"1,197.00","1,975.90","3,172.90","21,427.70",2.3,328.2
45,Utah,2019,7.4,13.1,20.5,185.5,2.5,3.2
46,Vermont,2019,3.7,1.3,5,34.6,0.7,0.6
47,Virginia,2019,30.3,41.4,71.7,551.8,1.6,8.5
48,Washington,2019,34.7,57.2,91.8,591.9,3.4,7.6
49,West Virginia,2019,9.4,4.6,14,80.6,1.3,1.8
50,Wisconsin,2019,22.6,22.4,45,348.1,1.4,5.8
51,Wyoming,2019,0.9,1.4,2.3,40.6,0.1,0.6
