State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
Alabama,1957,0.1,0.5,0.6,5.5,2.1,3.2
New Hampshire,1957,0.1,0.1,0.1,1.2,2.1,0.6
New Jersey,1957,0.9,1.4,2.3,17.4,2.1,5.7
New Mexico,1957,0.0,0.2,0.2,2.3,2.1,0.9
New York,1957,2.0,7.8,9.8,52.5,2.1,16.2
North Carolina,1957,0.3,0.5,0.8,9.4,2.1,4.4
North Dakota,1957,0.0,0.1,0.1,1.2,2.1,0.6
Ohio,1957,0.7,1.9,2.7,24.7,2.1,9.1
Oklahoma,1957,0.2,0.4,0.6,4.6,2.1,2.3
Oregon,1957,0.2,0.3,0.5,4.2,2.1,1.7
Pennsylvania,1957,1.2,2.3,3.5,25.7,2.1,11.1
Rhode Island,1957,0.1,0.2,0.3,2.0,2.1,0.8
South Carolina,1957,0.2,0.2,0.4,3.8,2.2,2.3
South Dakota,1957,0.0,0.0,0.0,1.2,2.1,0.7
Tennessee,1957,0.1,0.9,1.0,6.7,2.1,3.5
Texas,1957,0.2,2.7,2.9,21.8,2.1,9.0
All states combined,1957,13.7,39.3,53.0,474.0,2.1,170.4
Utah,1957,0.0,0.2,0.2,2.2,2.1,0.8
Vermont,1957,0.0,0.0,0.1,0.7,2.1,0.4
Virginia,1957,0.2,0.6,0.8,8.7,2.1,3.8
Washington,1957,0.3,1.1,1.3,8.3,2.1,2.7
West Virginia,1957,0.3,0.1,0.4,3.4,2.1,1.9
Wisconsin,1957,0.0,0.6,0.6,9.5,2.1,3.8
Alaska,1957,0.0,0.0,0.0,0.8,2.1,0.2
Nevada,1957,0.0,0.1,0.1,1.4,2.2,0.2
Nebraska,1957,0.0,0.5,0.5,3.2,2.1,1.4
Wyoming,1957,0.0,0.1,0.1,1.0,2.1,0.3
Missouri,1957,0.0,0.7,0.7,10.1,2.1,4.2
Montana,1957,0.0,0.1,0.1,1.5,2.2,0.6
Arkansas,1957,0.1,0.2,0.3,2.8,2.1,1.8
California,1957,1.2,3.4,4.6,50.4,2.1,14.0
Colorado,1957,0.0,0.4,0.5,4.4,2.1,1.6
Connecticut,1957,0.6,0.6,1.1,7.3,2.1,2.4
Delaware,1957,0.1,0.1,0.2,1.4,2.1,0.4
District of Columbia,1957,0.0,0.1,0.1,3.8,2.1,0.8
Florida,1957,0.2,1.1,1.3,10.9,2.1,4.2
Georgia,1957,0.3,0.6,0.9,7.7,2.1,3.8
Hawaii,1957,0.1,0.1,0.2,1.8,2.1,0.6
Idaho,1957,0.0,0.1,0.1,1.4,2.1,0.6
Arizona,1957,0.0,0.3,0.3,3.3,2.1,1.1
Indiana,1957,0.3,0.5,0.8,11.6,2.1,4.4
Iowa,1957,0.0,0.3,0.3,5.9,2.1,2.7
Kansas,1957,0.2,0.5,0.7,4.6,2.1,2.1
Kentucky,1957,0.1,0.4,0.5,6.2,2.1,3.0
Louisiana,1957,0.3,0.8,1.1,7.2,2.1,3.1
Maine,1957,0.1,0.1,0.2,1.8,2.1,1.0
Maryland,1957,0.5,0.9,1.4,7.6,2.1,2.9
Massachusetts,1957,1.0,1.1,2.2,13.0,2.1,5.0
Michigan,1957,0.6,1.2,1.8,22.7,2.1,7.4
Minnesota,1957,0.1,0.6,0.7,8.0,2.1,3.3
Mississippi,1957,0.1,0.2,0.3,3.3,2.1,2.2
Illinois,1957,0.6,2.5,3.1,29.4,2.1,9.6
Iowa,1958,0.0,0.3,0.3,6.0,-0.8,2.7
Kansas,1958,0.2,0.5,0.7,4.6,-0.7,2.1
Kentucky,1958,0.1,0.4,0.5,6.3,-0.8,3.0
Minnesota,1958,0.1,0.8,0.9,8.1,-0.8,3.3
Maine,1958,0.1,0.1,0.2,1.8,-0.8,1.0
Maryland,1958,0.5,1.0,1.5,7.7,-0.8,2.9
Massachusetts,1958,1.1,1.2,2.3,13.1,-0.8,5.1
Michigan,1958,0.7,1.3,2.0,23.0,-0.8,7.5
Louisiana,1958,0.3,0.9,1.2,7.3,-0.8,3.1
Indiana,1958,0.4,0.5,0.9,11.8,-0.8,4.5
District of Columbia,1958,0.0,0.1,0.1,3.9,-0.8,0.8
Idaho,1958,0.0,0.1,0.1,1.4,-0.7,0.7
Hawaii,1958,0.0,0.0,0.0,1.8,-0.7,0.6
Georgia,1958,0.3,0.7,1.0,7.8,-0.8,3.8
Florida,1958,0.2,1.2,1.4,11.1,-0.8,4.4
Delaware,1958,0.2,0.1,0.3,1.4,-0.8,0.4
Connecticut,1958,0.7,0.7,1.4,7.5,-0.8,2.4
Colorado,1958,0.1,0.5,0.6,4.5,-0.8,1.7
California,1958,1.4,3.8,5.2,51.2,-0.8,14.5
Arkansas,1958,0.1,0.2,0.3,2.9,-0.8,1.8
Mississippi,1958,0.1,0.3,0.4,3.3,-0.8,2.2
Arizona,1958,0.0,0.3,0.4,3.4,-0.8,1.2
