,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2002,6.4,12.7,19.1,127.8,2.9,4.5
1,Alaska,2002,5.3,3.3,8.6,29.6,4.7,0.6
2,Arizona,2002,4.3,22.3,26.6,179.4,3.1,5.5
3,Arkansas,2002,3.0,5.8,8.8,74,3.3,2.7
4,California,2002,71.2,138.4,209.7,"1,436.40",2.4,34.9
5,Colorado,2002,7.2,21.3,28.5,191,0.2,4.5
6,Connecticut,2002,20.8,7,27.8,176.2,-0.1,3.4
7,Delaware,2002,4.0,1.5,5.5,45.8,-3.5,0.8
8,District of Columbia,2002,0.0,5.4,5.4,70.1,3.0,0.6
9,Florida,2002,20.3,70.1,90.3,548.5,4.0,16.7
10,Georgia,2002,8.2,26.1,34.3,326.9,0.8,8.6
11,Hawaii,2002,5.7,2.8,8.4,45.4,3.4,1.2
12,Idaho,2002,2.5,1.4,4,38.7,2.5,1.3
13,Illinois,2002,34.8,46.2,80.9,514.1,0.6,12.6
14,Indiana,2002,9.5,14.6,24.1,212.4,2.5,6.1
15,Iowa,2002,3.7,5.8,9.5,99,2.8,2.9
16,Kansas,2002,2.3,10.2,12.5,90.9,1.5,2.7
17,Kentucky,2002,7.2,20,27.1,122.2,2.5,4.1
18,Louisiana,2002,9.2,11.8,21,139.5,2.0,4.5
19,Maine,2002,4.3,2,6.3,40.2,2.5,1.3
20,Maryland,2002,12.3,13.4,25.7,218.3,3.9,5.4
21,Massachusetts,2002,45.2,20.1,65.3,304,0.7,6.4
22,Michigan,2002,21.9,32.4,54.3,362.3,2.7,10.0
23,Minnesota,2002,6.4,25.6,32,202.8,2.6,5.0
24,Mississippi,2002,4.2,5.8,9.9,68.9,1.1,2.9
25,Missouri,2002,12.7,11.6,24.2,196.6,1.0,5.7
26,Montana,2002,2.8,1.2,4,23.9,2.8,0.9
27,Nebraska,2002,2.2,5.7,7.9,61.6,1.8,1.7
28,Nevada,2002,3.7,12.1,15.8,84.7,3.2,2.2
29,New Hampshire,2002,5.4,1.8,7.2,48.7,2.8,1.3
30,New Jersey,2002,32.1,25.5,57.6,388.3,2.2,8.5
31,New Mexico,2002,4.5,4.1,8.6,58.1,3.1,1.9
32,New York,2002,88.0,107.3,195.3,886.8,-0.9,19.2
33,North Carolina,2002,11.1,22.3,33.5,298.1,1.3,8.3
34,North Dakota,2002,1.7,1.2,2.9,20.2,5.4,0.6
35,Ohio,2002,20.0,31.3,51.3,412,2.6,11.4
36,Oklahoma,2002,6.5,6,12.5,99.2,1.8,3.5
37,Oregon,2002,7.7,11.2,18.8,121.2,2.2,3.5
38,Pennsylvania,2002,21.0,62.8,83.8,437,1.0,12.3
39,Rhode Island,2002,5.9,1.5,7.3,38.1,3.7,1.1
40,South Carolina,2002,10.1,12.7,22.8,124.2,2.4,4.1
41,South Dakota,2002,2.3,1.1,3.5,26.3,10.8,0.8
42,Tennessee,2002,3.6,17.5,21.1,195.3,3.4,5.8
43,Texas,2002,20.4,98.8,119.2,787.3,1.9,21.7
44,All states combined,2002,636.8,"1,044.60","1,681.40","10,936.40",1.7,287.8
45,Utah,2002,4.7,8.5,13.2,76,1.9,2.3
46,Vermont,2002,2.5,0.7,3.2,20.2,3.1,0.6
47,Virginia,2002,13.8,21.6,35.4,293.3,1.0,7.3
48,Washington,2002,13.6,32,45.6,248.2,1.7,6.1
49,West Virginia,2002,4.5,3.6,8.1,45.4,1.3,1.8
50,Wisconsin,2002,14.9,15.5,30.3,194.8,2.1,5.4
51,Wyoming,2002,1.3,1.1,2.4,19.1,2.2,0.5
