,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2009,8.2,19.4,27.6,168.3,-3.9,4.7
1,Alaska,2009,6.6,3.5,10.1,49.6,9.7,0.7
2,Arizona,2009,12.3,36.3,48.6,243.9,-8.1,6.6
3,Arkansas,2009,4.1,8.8,13,97.1,-3.1,2.9
4,California,2009,134.8,240.1,374.8,"1,920.10",-4.0,37.0
5,Colorado,2009,17.2,33.1,50.3,248.6,-2.0,5.0
6,Connecticut,2009,28.4,9.7,38.1,236.4,-4.5,3.5
7,Delaware,2009,6,2.2,8.2,56.9,3.0,0.9
8,District of Columbia,2009,0,9.8,9.8,100.9,-0.4,0.6
9,Florida,2009,39.8,108.6,148.4,724.6,-5.6,18.5
10,Georgia,2009,13.5,40.1,53.6,407,-3.9,9.8
11,Hawaii,2009,6.9,4.6,11.5,65.7,-3.6,1.3
12,Idaho,2009,3.5,2.4,5.9,53.8,-4.4,1.5
13,Illinois,2009,57,71.3,128.3,644.7,-2.4,12.9
14,Indiana,2009,23.7,27.5,51.2,261.2,-7.0,6.4
15,Iowa,2009,6.4,9.1,15.5,136.3,-2.4,3.0
16,Kansas,2009,5.9,20.9,26.7,124.3,-3.9,2.8
17,Kentucky,2009,13.4,25.9,39.3,155.8,-4.1,4.3
18,Louisiana,2009,17.5,17,34.5,206.9,1.4,4.5
19,Maine,2009,5.3,2.6,7.9,50.6,-1.6,1.3
20,Maryland,2009,23.5,17.4,40.9,302.5,-0.3,5.7
21,Massachusetts,2009,74.6,23,97.6,391.3,-1.1,6.6
22,Michigan,2009,31.7,48.4,80.1,365.6,-8.8,10.0
23,Minnesota,2009,10.5,33.3,43.8,260,-3.6,5.3
24,Mississippi,2009,6.2,7.3,13.4,93.2,-4.7,3.0
25,Missouri,2009,19.2,23.4,42.6,251.8,-2.0,6.0
26,Montana,2009,4.5,1.6,6.1,36,-2.1,1.0
27,Nebraska,2009,2.5,11.1,13.6,86.8,0.5,1.8
28,Nevada,2009,4.4,21.5,25.9,121.1,-8.4,2.6
29,New Hampshire,2009,8.4,2.6,11,61.9,-0.9,1.3
30,New Jersey,2009,56.9,35.7,92.6,486.5,-4.1,8.7
31,New Mexico,2009,8,8.2,16.2,82,2.0,2.0
32,New York,2009,122.7,174.7,297.3,"1,152.80",4.1,19.5
33,North Carolina,2009,19.9,31.7,51.6,406.5,-4.4,9.4
34,North Dakota,2009,1.9,2.2,4.1,32,2.6,0.6
35,Ohio,2009,29.1,46.5,75.6,480.3,-5.2,11.5
36,Oklahoma,2009,9.9,8.4,18.3,145.7,-1.3,3.7
37,Oregon,2009,12.7,20.6,33.3,160.6,-4.2,3.8
38,Pennsylvania,2009,41.9,77.4,119.3,577.4,-2.9,12.6
39,Rhode Island,2009,9.2,2.6,11.7,47.9,-0.5,1.1
40,South Carolina,2009,15.3,24.9,40.2,159.8,-4.4,4.6
41,South Dakota,2009,3.6,1.9,5.6,36.2,0.2,0.8
42,Tennessee,2009,4.8,31.7,36.5,250.5,-3.3,6.3
43,Texas,2009,30.4,200.7,231.2,"1,163.40",-0.3,24.8
44,All states combined,2009,"1,048.70","1,664.60","2,713.20","14,448.90",-2.5,307.0
45,Utah,2009,6.3,11.8,18.1,113.3,-2.2,2.8
46,Vermont,2009,3.4,1,4.4,25.9,-1.6,0.6
47,Virginia,2009,23.5,35.2,58.7,408.9,-0.1,7.9
48,Washington,2009,24.6,42.1,66.7,353.6,-2.5,6.7
49,West Virginia,2009,6.5,3.4,9.9,63,-0.5,1.8
50,Wisconsin,2009,20.9,20.3,41.2,245.5,-2.8,5.7
51,Wyoming,2009,1.3,0.9,2.3,36,-2.9,0.5
