State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,11.5,g,28.2,g,39.8,g,238.1,g,2.4,g,4.9,g
Alaska,6,g,3.6,g,9.5,g,58.2,g,1.6,g,0.7,g
Arizona,13.1,g,30,g,43.1,g,379.4,g,3.1,g,7.4,g
Arkansas,7.8,g,16.2,g,24,g,136.8,g,2,g,3,g
California,143.4,g,295.5,g,438.9,g,"3,230.20",g,2.9,g,39.6,g
Colorado,19.5,g,46.2,g,65.7,g,403.6,g,2.9,g,5.8,g
Connecticut,43.2,g,12.5,g,55.7,g,292.1,g,2,g,3.6,g
Delaware,6,g,3.3,g,9.3,g,80.3,g,1.8,g,1,g
District of Columbia,0,g,16.1,g,16.1,g,150.4,g,2.4,g,0.7,g
Florida,26.2,g,96.2,g,122.4,g,"1,129.60",g,2.9,g,21.7,g
Georgia,13.9,g,47.8,g,61.7,g,634.3,g,2.6,g,10.7,g
Hawaii,10.3,g,6.8,g,17.1,g,98.1,g,2,g,1.4,g
Idaho,3.6,g,2.9,g,6.5,g,84.3,g,3.1,g,1.8,g
Illinois,77.5,g,116,g,193.5,g,932.9,g,2.4,g,12.6,g
Indiana,22.6,g,26.9,g,49.5,g,394.8,g,2.3,g,6.8,g
Iowa,6.6,g,14.1,g,20.6,g,203.8,g,2.2,g,3.2,g
Kansas,5.5,g,15.1,g,20.5,g,179.7,g,2.3,g,2.9,g
Kentucky,15.1,g,31.9,g,47.1,g,222.7,g,2.2,g,4.5,g
Louisiana,18.6,g,18.7,g,37.4,g,275,g,2,g,4.6,g
Maine,4.8,g,3.2,g,8,g,69.2,g,2.3,g,1.3,g
Maryland,28.5,g,26.8,g,55.3,g,441.4,g,2.2,g,6.1,g
Massachusetts,82.4,g,21.8,g,104.2,g,613,g,2.6,g,6.9,g
Michigan,34.2,g,39.5,g,73.7,g,568.1,g,2.6,g,10,g
Minnesota,17.2,g,38.6,g,55.9,g,396.9,g,2.4,g,5.7,g
Mississippi,7,g,6.7,g,13.7,g,122.2,g,2,g,3,g
Missouri,17.3,g,26.9,g,44.2,g,342.3,g,2.5,g,6.2,g
Montana,2.7,g,2.4,g,5.1,g,52.5,g,2,g,1.1,g
Nebraska,2.2,g,14.9,g,17.1,g,131.5,g,2.2,g,1.9,g
Nevada,3.8,g,28.1,g,31.9,g,180.4,g,2.8,g,3.1,g
New Hampshire,7.9,g,2.7,g,10.6,g,91.1,g,2.4,g,1.4,g
New Jersey,66,g,32.1,g,98.1,g,671.6,g,2.3,g,8.9,g
New Mexico,7.7,g,9.6,g,17.3,g,108.1,g,2.3,g,2.1,g
New York,164.2,g,247,g,411.2,g,"1,811.80",g,2.4,g,19.4,g
North Carolina,14.2,g,27,g,41.1,g,613.3,g,2.7,g,10.6,g
North Dakota,3.3,g,5.9,g,9.3,g,59.8,g,2.5,g,0.8,g
Ohio,29.2,g,47.2,g,76.4,g,729.7,g,2.3,g,11.7,g
Oklahoma,9.8,g,11.9,g,21.7,g,219.9,g,2.3,g,4,g
Oregon,16.2,g,28.2,g,44.4,g,259.7,g,2.9,g,4.3,g
Pennsylvania,52.4,g,83.3,g,135.7,g,851.8,g,2.4,g,12.8,g
Rhode Island,9.5,g,2.8,g,12.3,g,64.8,g,1.9,g,1.1,g
South Carolina,13.3,g,20.1,g,33.4,g,246.6,g,2.2,g,5.2,g
South Dakota,4.1,g,3.2,g,7.3,g,55.3,g,2.1,g,0.9,g
Tennessee,6.8,g,41.7,g,48.5,g,396,g,2.7,g,6.9,g
Texas,53.5,g,248.6,g,302.1,g,"1,963.60",g,2.8,g,29.4,g
All states combined,"1,223.70",g,"2,020.60",g,"3,244.30",g,"22,210.90",b,1.5,b,330.6,e
Utah,7.4,g,13.2,g,20.6,g,195.5,g,3.2,g,3.3,g
Vermont,3.7,g,1.3,g,5.1,g,36,g,2.1,g,0.6,g
Virginia,31.5,g,43.1,g,74.6,g,576.8,g,2.6,g,8.6,g
Washington,35.6,g,58.6,g,94.2,g,625.4,g,3.8,g,7.7,g
West Virginia,10.1,g,5,g,15.1,g,84.6,g,2.5,g,1.8,g
Wisconsin,22.5,g,22.4,g,44.9,g,363.9,g,2.5,g,5.8,g
Wyoming,0.9,g,1.5,g,2.4,g,42.5,g,1.8,g,0.6,g
