,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1960,0.2,0.7,0.9,6.2,2.6,3.3
1,Alaska,1960,0.0,0.1,0.1,0.9,2.6,0.2
2,Arizona,1960,0.0,0.5,0.5,3.8,2.6,1.3
3,Arkansas,1960,0.1,0.2,0.3,3.2,2.6,1.8
4,California,1960,2.0,4.7,6.7,57.7,2.6,15.7
5,Colorado,1960,0.1,0.6,0.7,5.0,2.6,1.8
6,Connecticut,1960,0.9,0.8,1.6,8.4,2.6,2.5
7,Delaware,1960,0.2,0.1,0.3,1.6,2.6,0.4
8,District of Columbia,1960,0.0,0.1,0.1,4.4,2.6,0.8
9,Florida,1960,0.3,1.4,1.7,12.5,2.6,5.0
10,Georgia,1960,0.3,0.8,1.1,8.8,2.6,3.9
11,Hawaii,1960,0.2,0.1,0.3,2.0,2.6,0.6
12,Idaho,1960,0.0,0.1,0.1,1.6,2.6,0.7
13,Illinois,1960,0.7,3.5,4.2,33.6,2.6,10.1
14,Indiana,1960,0.4,0.7,1.1,13.3,2.6,4.7
15,Iowa,1960,0.0,0.4,0.4,6.7,2.6,2.8
16,Kansas,1960,0.2,0.6,0.8,5.2,2.6,2.2
17,Kentucky,1960,0.2,0.4,0.6,7.1,2.6,3.0
18,Louisiana,1960,0.4,1.0,1.4,8.2,2.6,3.3
19,Maine,1960,0.1,0.1,0.2,2.1,2.6,1.0
20,Maryland,1960,0.6,1.1,1.7,8.7,2.6,3.1
21,Massachusetts,1960,1.2,1.4,2.6,14.8,2.6,5.1
22,Michigan,1960,0.8,1.6,2.4,25.9,2.6,7.8
23,Minnesota,1960,0.2,1.0,1.2,9.1,2.6,3.4
24,Mississippi,1960,0.2,0.4,0.6,3.8,2.6,2.2
25,Missouri,1960,0.1,0.9,1.0,11.6,2.6,4.3
26,Montana,1960,0.0,0.1,0.2,1.7,2.6,0.7
27,Nebraska,1960,0.0,0.6,0.6,3.6,2.6,1.4
28,Nevada,1960,0.0,0.1,0.1,1.5,2.6,0.3
29,New Hampshire,1960,0.1,0.1,0.2,1.4,2.6,0.6
30,New Jersey,1960,0.9,1.7,2.6,19.9,2.6,6.1
31,New Mexico,1960,0.1,0.2,0.2,2.6,2.6,1.0
32,New York,1960,2.9,9.7,12.6,60.1,2.6,16.8
33,North Carolina,1960,0.3,0.7,1.0,10.8,2.6,4.6
34,North Dakota,1960,0.0,0.1,0.1,1.4,2.6,0.6
35,Ohio,1960,0.9,2.5,3.4,28.3,2.6,9.7
36,Oklahoma,1960,0.2,0.5,0.7,5.2,2.6,2.3
37,Oregon,1960,0.3,0.3,0.6,4.9,2.6,1.8
38,Pennsylvania,1960,1.5,3.1,4.5,29.4,2.6,11.3
39,Rhode Island,1960,0.1,0.2,0.3,2.3,2.6,0.9
40,South Carolina,1960,0.3,0.2,0.5,4.3,2.6,2.4
41,South Dakota,1960,0.0,0.1,0.1,1.4,2.6,0.7
42,Tennessee,1960,0.1,1.1,1.2,7.7,2.6,3.6
43,Texas,1960,0.3,3.3,3.6,24.9,2.6,9.6
44,All states combined,1960,18.5,51.4,70.0,542.4,2.6,179.3
45,Utah,1960,0.0,0.2,0.2,2.6,2.6,0.9
46,Vermont,1960,0.0,0.0,0.1,0.8,2.7,0.4
47,Virginia,1960,0.2,0.8,1.0,9.9,2.6,4.0
48,Washington,1960,0.4,1.7,2.1,9.5,2.6,2.9
49,West Virginia,1960,0.3,0.2,0.5,3.9,2.6,1.9
50,Wisconsin,1960,0.1,0.8,0.9,10.8,2.6,4.0
51,Wyoming,1960,0.0,0.1,0.1,1.2,2.6,0.3
