,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2010,8.8,20.2,29,174.8,2.4,4.8
1,Alaska,2010,6.4,3.7,10.1,52.9,-3.0,0.7
2,Arizona,2010,14,35,49,248.2,0.9,6.4
3,Arkansas,2010,4.2,9.5,13.7,101.7,3.3,2.9
4,California,2010,148.9,256.7,405.7,"1,974.60",1.6,37.3
5,Colorado,2010,16.7,33.7,50.4,255.1,0.9,5.0
6,Connecticut,2010,30.4,10.7,41.1,237.7,-0.2,3.6
7,Delaware,2010,5.5,2.3,7.8,57.4,-0.6,0.9
8,District of Columbia,2010,0,10.3,10.3,106.1,3.4,0.6
9,Florida,2010,41.3,109.5,150.9,737.8,1.0,18.8
10,Georgia,2010,13.8,38.7,52.5,416.9,1.6,9.7
11,Hawaii,2010,7.7,4.9,12.6,68.2,2.8,1.4
12,Idaho,2010,3.9,2.3,6.1,55.2,1.4,1.6
13,Illinois,2010,61.4,74.8,136.1,662.6,1.8,12.8
14,Indiana,2010,23.6,27.5,51.2,280.1,6.4,6.5
15,Iowa,2010,7.4,9.8,17.2,141.5,2.7,3.1
16,Kansas,2010,6.5,21.3,27.8,127.7,1.3,2.9
17,Kentucky,2010,14.4,27.5,41.9,164.6,4.3,4.3
18,Louisiana,2010,17.5,18.2,35.7,225.7,3.6,4.5
19,Maine,2010,6,2.9,8.9,51.7,1.3,1.3
20,Maryland,2010,24.5,18.1,42.5,316.5,3.9,5.8
21,Massachusetts,2010,73.9,23.5,97.4,409.8,4.0,6.6
22,Michigan,2010,32.1,45.2,77.3,386.6,5.5,9.9
23,Minnesota,2010,11.6,33.7,45.3,271.8,3.4,5.3
24,Mississippi,2010,6.5,7.4,13.9,95.2,0.5,3.0
25,Missouri,2010,20.4,24.2,44.6,258.5,1.7,6.0
26,Montana,2010,4.2,1.6,5.7,38.1,3.1,1.0
27,Nebraska,2010,2.4,11.9,14.3,91.8,4.0,1.8
28,Nevada,2010,4.4,24.2,28.7,123.6,1.2,2.7
29,New Hampshire,2010,8.3,2.6,11,64.2,3.1,1.3
30,New Jersey,2010,61,37.1,98.1,495.1,1.1,8.8
31,New Mexico,2010,8.7,9,17.7,84,-0.8,2.1
32,New York,2010,129.5,186.5,316.1,"1,214.00",3.8,19.4
33,North Carolina,2010,18.9,33.4,52.2,415.2,1.5,9.6
34,North Dakota,2010,2.2,2.3,4.5,35.4,7.6,0.7
35,Ohio,2010,30,46.7,76.7,497.2,2.3,11.5
36,Oklahoma,2010,10,8.9,18.8,152.9,0.0,3.8
37,Oregon,2010,13.5,20.6,34.1,163.8,1.4,3.8
38,Pennsylvania,2010,44.7,78.9,123.6,599.3,2.8,12.7
39,Rhode Island,2010,9.5,2.7,12.2,49.6,2.5,1.1
40,South Carolina,2010,15.8,25.7,41.4,163.9,2.0,4.6
41,South Dakota,2010,3.5,2,5.5,37.5,1.0,0.8
42,Tennessee,2010,5.8,31.7,37.5,255.9,1.4,6.4
43,Texas,2010,42,211.6,253.6,"1,237.20",2.4,25.2
44,All states combined,2010,"1,115.50","1,728.70","2,844.20","14,992.10",2.6,309.3
45,Utah,2010,6.5,12.8,19.3,118,2.1,2.8
46,Vermont,2010,3.5,1.1,4.6,27.1,4.1,0.6
47,Virginia,2010,25,37,62,422.9,2.7,8.0
48,Washington,2010,27.5,43.6,71.1,365.6,2.3,6.7
49,West Virginia,2010,7.1,3.6,10.7,65.3,1.3,1.9
50,Wisconsin,2010,22.3,20.8,43.1,254.4,3.0,5.7
51,Wyoming,2010,1.5,1,2.5,37.4,-3.8,0.6
