State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.3,a,0.7,a,1,a,6.5,e,2.6,e,3.3,i
Alaska,0,a,0.1,a,0.1,a,1,e,2.6,e,0.2,i
Arizona,0,a,0.5,a,0.5,a,4,e,2.6,e,1.3,i
Arkansas,0.1,a,0.2,a,0.3,a,3.3,e,2.6,e,1.8,i
California,2.5,a,5.4,a,7.9,a,59.8,e,2.6,e,16.1,i
Colorado,0.1,a,0.6,a,0.6,a,5.2,e,2.6,e,1.8,i
Connecticut,1,a,0.8,a,1.7,a,8.7,e,2.6,e,2.6,i
Delaware,0.2,a,0.1,a,0.3,a,1.7,e,2.6,e,0.5,i
District of Columbia,0,a,0.2,a,0.2,a,4.5,e,2.6,e,0.8,i
Florida,0.3,a,1.6,a,1.9,a,13,e,2.6,e,5.1,i
Georgia,0.3,a,0.8,a,1.1,a,9.1,e,2.6,e,4,i
Hawaii,0.2,a,0.1,a,0.3,a,2.1,e,2.6,e,0.6,i
Idaho,0,a,0.1,a,0.1,a,1.6,e,2.6,e,0.7,i
Illinois,0.7,a,3.8,a,4.5,a,34.9,e,2.6,e,10.2,i
Indiana,0.4,a,0.8,a,1.2,a,13.8,e,2.6,e,4.7,i
Iowa,0.1,a,0.5,a,0.5,a,7,e,2.6,e,2.8,i
Kansas,0.2,a,0.6,a,0.8,a,5.4,e,2.6,e,2.2,i
Kentucky,0.3,a,0.5,a,0.8,a,7.4,e,2.6,e,3.1,i
Louisiana,0.4,a,1,a,1.4,a,8.5,e,2.6,e,3.3,i
Maine,0.1,a,0.1,a,0.2,a,2.1,e,2.6,e,1,i
Maryland,0.6,a,1.2,a,1.8,a,9.1,e,2.6,e,3.2,i
Massachusetts,1.3,a,1.4,a,2.8,a,15.4,e,2.6,e,5.2,i
Michigan,0.8,a,1.8,a,2.6,a,26.9,e,2.6,e,7.9,i
Minnesota,0.2,a,1,a,1.2,a,9.5,e,2.6,e,3.5,i
Mississippi,0.2,a,0.4,a,0.6,a,3.9,e,2.6,e,2.2,i
Missouri,0.1,a,1,a,1.1,a,12,e,2.6,e,4.4,i
Montana,0.1,a,0.1,a,0.2,a,1.7,e,2.6,e,0.7,i
Nebraska,0,a,0.6,a,0.6,a,3.8,e,2.6,e,1.4,i
Nevada,0,a,0.1,a,0.1,a,1.6,e,2.6,e,0.3,i
New Hampshire,0.1,a,0.1,a,0.2,a,1.5,e,2.5,e,0.6,i
New Jersey,0.9,a,1.9,a,2.8,a,20.6,e,2.6,e,6.2,i
New Mexico,0.1,a,0.2,a,0.3,a,2.7,e,2.6,e,1,i
New York,3.2,a,10,a,13.2,a,62.3,e,2.6,e,16.9,i
North Carolina,0.3,a,0.7,a,1,a,11.1,e,2.6,e,4.6,i
North Dakota,0,a,0.1,a,0.1,a,1.4,e,2.6,e,0.6,i
Ohio,0.9,a,2.6,a,3.5,a,29.3,e,2.6,e,9.8,i
Oklahoma,0.2,a,0.5,a,0.7,a,5.4,e,2.6,e,2.4,i
Oregon,0.3,a,0.3,a,0.7,a,5,e,2.6,e,1.8,i
Pennsylvania,1.5,a,3.2,a,4.7,a,30.5,e,2.6,e,11.4,i
Rhode Island,0.1,a,0.2,a,0.3,a,2.4,e,2.6,e,0.9,i
South Carolina,0.3,a,0.2,a,0.5,a,4.5,e,2.6,e,2.4,i
South Dakota,0,a,0.1,a,0.1,a,1.4,e,2.6,e,0.7,i
Tennessee,0.1,a,1.1,a,1.3,a,8,e,2.6,e,3.6,i
Texas,0.4,a,3.5,a,3.9,a,25.8,e,2.6,e,9.7,i
All states combined,20,a,55,a,75,a,562.2,a,2.6,a,181.6,i
Utah,0,a,0.2,a,0.2,a,2.6,e,2.6,e,0.9,i
Vermont,0.1,a,0,a,0.1,a,0.9,e,2.6,e,0.4,i
Virginia,0.2,a,1,a,1.2,a,10.3,e,2.6,e,4,i
Washington,0.4,a,1.8,a,2.2,a,9.9,e,2.6,e,2.9,i
West Virginia,0.3,a,0.2,a,0.5,a,4.1,e,2.6,e,1.8,i
Wisconsin,0.1,a,0.9,a,1,a,11.2,e,2.6,e,4,i
Wyoming,0,a,0.1,a,0.1,a,1.2,e,2.6,e,0.3,i
